# of Use,antall ganger brukt
%1$s incl tax.,%1$s inkl mva.
%s - %s,%s -- %s
%s Item(s),%s vare(r)
(Copy data from: %s),(Kopier data frå: %s)
(Will make search for the query above return results for this search.),(Vil returnere treff fra spørringen over for dette søket.)
* Required Fields,* Påkrevde felt
-- Please Select --,-- Vennligst velg --
A name is required,Namn er påkrevd
ALL GROUPS,ALLE GRUPPER
AM,AM
Action,Handling
Add Attribute,Legg til attributt
Add Design Change,Legg til designendring
Add Group,Legg til gruppe
Add Items to Cart,Legg varer i handlekurven
Add New,Legg til ny
Add New Attribute,Legg til nytt attributt
Add New Attribute Set,Legg til nytt attributtsett
Add New Group,Legg til ny gruppe
Add New Images,Legg til nye bilete
Add New Option,Legg til nytt val
Add New Row,Legg til
Add New Search Term,Legg til ny søkefrase
Add New Set,Legg til nytt sett
Add Option,Legg til val
Add Product,Legg til produkt
Add Product To Websites,Legg til produkt i nettstad
Add Root Category,Opprett Toppnivå-kategori
Add Subcategory,Opprett underkategori
Add Tax,Opprett momsklasse
Add Tier,Legg til prisnivå
Add to Cart,Legg i handlekorga
Add to Compare,Legg til sammenligning
Add to My Wishlist,Legg i mi ønskjeliste
Add to Wishlist,Legg i ønskjelista
Additional Information,Tilleggsinformasjon
All,Alle
All Product Types,Alle produkttypar
All products of this set will be deleted! Are you sure you want to delete this attribute set?,All products of this set will be deleted!! Are you sure you want to delete this attribute set?
Allow HTML-tags on Front-end,Tillat HTML-tagger i Front-end
Allowed File Extensions,Tillatt filtyper
Allowed file extensions to upload,Tillatte filtyper
Amount,Antal
Apply To,Bruk på
Apply To Configurable/Grouped Product,Bruk på konfigurerbart/gruppert produkt
Approved,Godkjent
Are you sure you want to delete this category?,Er du sikker på at du vil slette denne kategorien?
Are you sure you would like to remove all products from your comparison?,Er du sikker på at du ønskjer å fjerne alle produktane i samanlikningslista?
Are you sure you would like to remove this item from the compare products?,Er du sikker på at du vil fjerne dette elementet frå produktsamanlikningslista?
Are you sure?,Er du sikker?
As low as:,Frå
Assign,Angi
Assign product link,Angi produktlink
Assign product to category,Angi produkt til kategori
Assigned Products,Tilordna produkt
Associated Products,Tilknytta produkt
Attrib. Set Name,Namn på attributtsett
Attribute Code,Attributtkode
Attribute Information,Attributtinformasjon
Attribute Label,Attributtmerkelapp
Attribute Model,Attributtmodell
Attribute Name:,Attributtnamn:
Attribute Properties,Attributteigenskapar
Attribute Set,Attributtsett
"Attribute group with the ""/name/"" name already exists","Attribute gruppe med ""/name/"" navnet eksisterer allerede"
Attribute model not defined,Attributtmodell ikkje definert
Attribute with the same code already exists,Attributt med samme kode eksisterer allerede
Attributes,Attributtar
Attrribute names can be specified per store.,Atributtsett kan angis per butikk.
Autogenerate,Autogenerer
Availability,Tilgjengelegheit
Availability: In stock.,På lager.
Availability: Out of stock.,Ikkje på lager.
Back,Tilbake
Backend Model,Administrasjonmodell
Backend Table,Administrasjontabell
Backend Table Title,Tittel på adm.tabell
Backorders,Restordrar
Base directory to upload image file is not specified,Katalog for opplasting av biletfil er ikkje spesifisert
Based On,Basert på
Best Value,Beste tilbud
Block after Info Column,Block etter Infokolonne
Bottom/Left,Bunn/Venstre
Bottom/Right,Bunn/Høgre
Browse By,Bla gjennom basert på
Buy %1$s for %2$s,Kjøp %1$s for %2$s
Buy %1$s for %2$s (%3$s incl. tax) each,Kjøp %1$s for %2$s (%3$s inkl mva) hver
Buy %1$s for %2$s each,Kjøp %1$s for %2$s hver
Can be used only with catalog input type Dropdown,"Kan kun brukes med inndatatype ""Nedtrekksliste"""
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan kun brukes med inndatatype ""Nedtrekksliste"
Can't create image.,Kan ikkje opprette bilete.
Cannot create writeable directory '%s',Kan ikkje opprette skrivbar katalog '%s'
Cart Item Attribute,Vareattributt
Catalog,Katalog
Catalog Input Type for Store Owner,Inndatatype for butikkeier
Catalog Price Scope,Omfang for katalogpris
Catalog Section,Varekatalog
"Catalog, Search","Katalog, Søk"
Categories,Kategoriar
Categories Sitemap,Sidekart over kategoriar
Category,Kategori
Category API,Kategori API
Category Data,Kategoridata
Category Navigation:,Kategorinavigering:
Category Products,Produkter i kategori
Category Top Navigation,Navigering
Category URL Suffix,Kategori URL
Category attributes API,Kategori attributt API
Category delete error,Feil ved sletting av kategori
Category deleted,Kategorien vart sletta
Category move error,Feil ved flytting av kategori
Category must be instance of Mage_Catalog_Model_Category,Kategori må være instans av Mage_Catalog_Model_Category
Category saved,Kategorien vart lagra
Change,Endre
Change or Retrieve attribute store view,Endre eller hent attributt butikkvisning
Change status,Endre status
Check items to add to the cart or,Merk produkta som skal legges i handlekorga
Choose an Option...,Vel eit alternativ...
Choose option...,Vel alternativ...
Clear All,Fjern alle
Clear All Items,Fjern alle varar
Close Window,Lukk vindauga
Collapse All,Utvid alle
Comparable,Samanliknbar
Comparable on Front-end,Samanliknbar i Frontend
Compare Items,Samanlikn varer
Compare Products,Produktsamanlikning
Compare Products (%d),Samanlikn produkt (%d)
Compare Products - %d Items,Sammenlikn produkt - %d varer
Compare Products List,Produktsamanlikningsliste
Compare list successfully cleared,Samanlikningslista er nå tom.
Conditions Combination,Kombinasjon av betingelsar
Configurable Product,Konfigurerbart produkt
Configurable Product Settings,Innstillingar for konfigurerbart produkt
Continue,Fortsett
Copy From Configurable,Kopier fra konfigurerbart
Country/State,Land/Fylke
Create,Opprett
Create (Upload),Opprett (Last opp)
Create Empty,Opprett tom
Create Product Settings,Innstillingar for opprettelse av produkt
Create Simple Associated Product,Lag tilhøyrande enkeltprodukt
Create new category,Opprett ny kategori
Create new product,Opprett nytt produkt
Cross-sells,Salg av tilbehøyr
Currently Shopping by,Viser nå varer etter:
Custom Design,Tilpassa design
Custom Options,Eigendefinerte alternativer
Customer Group,Kundegruppe
Customers Reviews,Kundeomtaler
Customers Tagged Product,Produkter tagget av kunder
Customers for alert %s was successfuly added to queue,Kunder som skal varslas om %s blei lagt i køen
Data Type for Saving in Database,Datatype for lagring i database
Date,Dato
Date & Time Custom Options,Alternativer for dato og tid
Date Subscribed,Abonneringsdato
Date fields order,Dato-sortering
Datetime,Dato og tid
Decimal,Desimal
Decimal Number,Desimaltal
Declare attribute value saving scope,Angi omfang for lagring av attributtverdi
Default Qty,Standardantal
Default Values,Standardverdiar
Default price,Standardpris
Default value,Standardverdi
Delete,Slett
Delete Attribute,Slett attributt
Delete Attribute Set,Slett attributtsett
Delete Category,Slett kategori
Delete Option,Slett val
Delete Row,Slett
Delete Search,Slett søk
Delete Selected Group,Slett vald gruppe
Delete category,Slett kategori
Delete product,Slett produkt
Depends on design theme,Avhenger av template
Design,Design
Disabled,Deaktivert
Display in Suggested Terms,Vis i foreslåtte fraser
Double click on a group to rename it,Dobbelklikk på en gruppe for å endre namn
Double click on above image to view full picture,Dobbelklikk på biletet for å sjå det i full storleik
Dropdown,Nedtrekksliste
Duplicate,Dupliser
Duplicate website tier price customer group and quantity.,Dupliser kundegruppe og antal for nettstadens nivåpris.
"Duplicate website, country and state tax found.","Website, land eller mvasats finnes fra før."
Edit,Endre
Edit Attribute Set '%s',Rediger attributtsett '%s'
Edit Product Attribute,Rediger produktattributt
"Edit Product Attribute ""%s""","Rediger produktattributt ""%s"""
Edit Search,Rediger søk
Edit Search '%s',Rediger søk '%s'
Email,Epost
Email to a Friend,Tips ein ven
Empty,Tom
Enabled,Aktivert
Error during retrieval of option value: %s,Feil under henting av valalternativ: %s
Error while adding customers for %s alert. Message: %s,Feil under innlegging av kundar for varsling om %s. Melding: %s
Error while saving this group. Group with the same name already exists.,Feil under lagring av denne gruppen. Gruppenamnet eksisterar allereie.
Error while saving this group. Please try again later.,Feil under lagring av denne gruppen. Prøv igjen seinare.
Exclude,Ekskluder
Expand All,Utvid alle
Failed,Feila
Failed to move file: %s,Feil under flytting av fil: %s
Feature Products,Anbefalte produkter
File options format is not valid,Filformat ikkje gyldig
File upload failed,Filopplasting feila
Filter model name must be declared,Filtermodellnamn må vere angitt
Filter must be as object. Set correct filter please,Filter må vere et objekt. Sett korrekt filter
Filterable (no results),Filtrerbart (ingen resultater)
Filterable (with results),Filtrerbart (med resultater)
Filters must be as array,Filtre må vere ein tabell
First Name,Fornamn
Fixed,Fast
Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.,Flat Catalog module has limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.
For internal use. Must be unique with no spaces,For internt bruk. Må vere unikt utan mellomrom
For reindex enabled product(s) you need specify store or product,For reindex enabled product(s) you need specify store or product
Frontend,Forside
Frontend Model,Modell for Frontend
Frontend Properties,Frontend-eigenskapar
Gallery,Galleri
General Information,Generell informasjon
Get special price,Spesialpris
Global,Global
Globally Editable,Redigerbar globalt
Go to Home Page,Gå til hovedside
Grid,Rutenett
Grouped Product,Grupperte produkter
Groups,Grupper
Home,Hjem
ID,ID:
ID: %s,ID %s
If you do not specify an option value for a specific store view then the default (Admin) value will be used.,If you do not specify an option value for a specific store view then the default (Admin) value will be used
Image,Bilete
Image content is not valid base64 data.,Image content is not valid base64 data
Image file not found,Fant ikkje bilete
Image not exists,Bilete eksisterar ikkle
Image not specified.,Ingen bilete definert.
Image type and information need to be specified for each store view.,Bilete og informasjon må vere spesifisert for kvar butikkvisning
In Stock,På lager
In stock,På lager
In stock.,På lager.
Incl. Tax,Inkl mva
Input Type,Type
Input Validation for Store Owner,Inndatavalidering for butikkeigar
Integer,Heiltall
Integer Number,Heiltall
Invalid Tier Prices,Ugyldig prissetting
Invalid attribute %s,ugyldig attributt %s
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ugyldig attributtvalg for attributt %s (%s), hopper over oppføringen"
"Invalid attribute set specified, skipping the record","Ugyldig attributtsett, hopper over oppføringen"
Invalid block: %s,Ugyldig blokk: %s
Invalid category,Ugyldig kategori
Invalid category IDs,Ugyldige kategori-IDer
Invalid image file type,Ugyldig biletfil
Invalid image type.,Ugyldig bilete.
"Invalid option id specified for %s (%s), skipping the record","Ugyldig valg-ID spesifisert for %s (%s), hopper over oppføringen"
"Invalid product type specified, skipping the record","Ugyldig produkttype spesifisert, hopper over oppføringen"
Invalid store specified,Ugyldig butikk spesifisert
"Invalid store specified, skipping the record","Ugyldig butikk spesifisert, hopper over oppføringen"
Inventory,Lagerbeholdning
Is Default,Er standard
Is Required,Påkrevd
Items %s to %s of %s total,Vare %s til %s av totalt %s
Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.,Varer som ikke skal vises i katalogen eller i søkeresultater må ha status 'Deaktivert' i gjeldende butikk.
Label,Merkelapp
Last Name,Etternamn
Last Notification,Siste varsling
Learn More,Les meir
Length of text is too long,Teksta  er for lang
Letters,Bokstavar
Letters(a-zA-Z) or Numbers(0-9),Bokstavar (a-zA-Z) eller tal (0-9)
"Line %d, Email: %s","Linje %d, Epost: %s"
"Line %d, SKU: %s","Linje %d, Varekode: %s"
"Link (Related, Up sell, Cross sell)","Link (Relatert, Betre alternativ, Liknande)"
Link product not exists.,Link-produkt finnast ikkje.
List,Liste
List Mode,Listemodus
Manage Attribute Sets,Behandle attributtsett
Manage Attributes,Behandle attributtar
Manage Catalog Categories,Behandle varekategoriar
Manage Categories,Behandle kategoriar
Manage Label / Options,Behandle etikettar/val
Manage Options (values of your attribute),Behandle val (verdiar for attributtet)
Manage Product Attributes,Behandle produktattributter
Manage Product Sets,Behandle produktklassar
Manage Products,Behandle produkt
Manage Stock,Behandle lager
"Manage Titles (Size, Color, etc.)","Behandle overskrifter (storleik, farge, osv.)"
Max Characters,Maks antal bokstavar
Maximal Depth,Maksimal dybde
